REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
5,1,12537,3,2,,,2,4,4,5,1,1,27,70412,1,4
5,2,12635,2,2,,,2,4,4,5,1,1,15,24013,2,1
5,2,12826,4,2,,,2,4,4,5,1,1,23,60001,1,2
7,1,17929,2,2,,,2,4,4,5,1,1,26,60413,1,4
7,1,18011,1,2,,,2,4,4,5,2,1,27,60413,2,4
7,1,18211,1,1,40719,ELECTRICAL INSTALLATION,1,4,4,5,1,1,27,24015,1,4
7,1,18442,2,2,,,2,4,4,5,1,1,23,24015,1,4
10,1,26157,4,1,50721,FOOD TECHNOLOGY,1,4,4,5,1,1,20,50721,2,4
13,1,34522,2,1,40613,PROGRAMMING,1,4,4,5,1,1,25,60613,1,4
13,1,37445,1,2,,,2,4,4,5,1,1,29,60913,1,4
13,1,38513,4,2,,,2,4,4,5,1,1,30,60001,1,4
13,1,41486,3,2,,,2,4,4,5,1,1,21,60413,2,4
13,1,41881,1,2,,,2,4,4,5,1,1,26,60411,2,4
14,2,44885,1,2,,,2,4,4,5,1,1,29,24011,1,4
14,1,45507,3,2,,,1,4,4,5,1,1,24,60411,2,4
17,2,52406,3,2,,,1,4,4,5,1,1,23,50716,1,4
17,2,54091,1,2,,,2,4,4,5,2,1,30,60411,2,4
1,1,968,2,2,,,2,3,4,5,2,1,21,60412,2,4
2,2,2027,5,2,,,2,3,4,5,1,1,23,40001,1,4
3,1,4370,2,2,,,1,3,4,5,1,1,30,61013,1,4
3,2,7964,4,2,,,2,3,4,5,1,1,28,60314,1,4
3,2,8040,3,2,,,2,3,4,5,1,1,21,61013,2,4
6,1,13951,2,2,,,2,3,4,5,1,1,29,61013,2,4
6,1,14802,3,2,,,2,3,4,5,1,1,25,60411,1,4
6,1,15218,2,1,51012,BEAUTY CARE SVCS.,1,3,4,5,1,1,25,60002,2,4
7,1,18038,1,2,,,2,3,4,5,1,1,23,60001,1,4
7,1,19232,2,2,,,2,3,4,5,1,1,21,24015,2,4
9,2,25282,4,2,,,2,3,4,5,2,1,26,24015,1,4
10,1,26520,3,2,,,2,3,4,5,1,1,29,60713,1,4
10,1,27376,3,2,,,2,3,4,5,1,1,20,24015,1,4
11,1,29513,3,2,,,2,3,4,5,2,1,26,60411,1,4
11,2,31045,4,2,,,2,3,4,5,2,1,22,60800,1,4
12,2,33484,2,2,,,2,3,4,5,1,1,22,24012,1,4
13,1,34658,2,1,40619,INFORMATION COMM TECH,1,3,4,5,1,1,21,34013,1,4
13,1,37421,2,2,,,2,3,4,5,1,1,24,60111,2,4
13,1,37449,3,2,,,2,3,4,5,1,1,30,41013,2,4
13,1,39648,1,2,,,2,3,4,5,2,1,26,60004,2,4
13,1,40497,3,2,,,2,3,4,5,1,1,23,60413,2,4
13,1,42175,4,2,,,2,3,4,5,1,1,23,60413,2,4
14,1,45473,2,2,,,2,3,4,5,1,1,23,60410,1,4
16,1,48952,2,2,,,2,3,4,5,1,1,26,60821,2,4
16,1,49159,1,2,,,2,3,4,5,1,1,24,60314,2,4
16,2,50115,3,2,,,2,3,4,5,1,1,26,70114,2,4
17,1,52991,2,2,,,2,3,4,5,1,1,26,60002,2,4
3,1,4002,4,2,,,2,2,4,5,1,1,24,60388,1,4
3,1,4537,3,2,,,1,2,4,5,2,1,21,60612,1,4
8,2,21604,3,2,,,2,2,4,5,2,1,26,24015,1,4
11,2,31045,3,1,40721,DAIRY PRODUCTION AND MNGMT,2,2,4,5,1,1,27,60003,1,4
12,1,32915,1,2,,,2,2,4,5,1,1,29,60003,1,4
13,1,35250,1,2,,,2,2,4,5,2,1,25,60412,1,4
13,1,35741,1,2,,,2,2,4,5,1,1,23,60612,1,4
13,1,36545,3,2,,,2,2,4,5,2,1,28,60388,2,4
13,1,40329,2,2,,,2,2,4,5,1,1,24,60913,2,4
7,2,17408,3,2,,,2,1,4,5,1,1,16,10018,1,4
13,1,35517,1,2,,,2,1,4,5,2,1,25,60612,1,4
17,1,53305,1,2,,,2,1,4,5,1,1,18,35031,2,4
3,1,3969,1,2,,,2,5,3,5,1,1,20,61013,1,4
4,1,10862,1,1,50714,CERT OF TECHNOLOGY/ELEC,1,5,3,5,2,1,25,50714,1,4
4,1,10914,1,2,,,1,5,3,5,1,1,28,61013,1,4
7,1,18067,1,2,,,2,5,3,5,1,1,24,60313,1,4
10,1,25686,3,2,,,1,5,3,5,1,1,26,60111,2,4
10,2,25989,1,2,,,2,5,3,5,1,1,22,24014,1,4
13,1,34565,2,2,,,2,5,3,5,1,1,28,60414,1,4
13,1,34580,3,2,,,2,5,3,5,1,1,25,60413,2,4
14,2,46178,4,2,,,2,5,3,5,1,1,15,24013,1,2
17,1,53305,3,2,,,2,5,3,5,1,1,19,34012,2,4
4,1,9083,2,2,,,2,4,3,5,2,1,26,24015,2,4
4,1,10820,2,2,,,2,4,3,5,1,1,22,60221,1,4
4,1,10894,3,2,,,2,4,3,5,1,1,26,60003,1,4
6,1,15304,2,2,,,2,4,3,5,1,1,21,50611,2,4
8,1,20923,1,2,,,2,4,3,5,2,1,22,24015,2,4
8,1,22230,2,2,,,1,4,3,5,1,1,26,60002,1,4
8,2,22891,1,2,,,2,4,3,5,1,1,30,60413,1,4
9,2,25268,1,2,,,1,4,3,5,1,1,24,60112,1,4
10,1,26590,5,2,,,2,4,3,5,1,1,17,24015,1,1
11,2,29222,3,2,,,2,4,3,5,1,1,27,24015,2,4
11,1,29650,3,1,51013,HRM,1,4,3,5,2,1,23,51013,2,4
11,1,30891,3,2,,,2,4,3,5,1,1,21,60413,2,4
12,1,33748,2,2,,,2,4,3,5,1,1,30,60413,2,4
13,1,34922,2,2,,,2,4,3,5,1,1,24,60411,2,4
13,1,35522,2,2,,,2,4,3,5,1,1,26,60413,2,4
